Timestamp,Milliseconds,X,Y,Z
2018-09-15 19:27:26,2112,-2.600998,-2.8666077,8.812759
2018-09-15 19:27:26,2122,3.5844421,-2.1032867,3.3690948
2018-09-15 19:27:26,2133,10.097717,-0.27757263,-1.6175537
2018-09-15 19:27:26,2142,16.93161,3.5653076,-7.360321
2018-09-15 19:27:27,2152,21.908691,4.2544403,-14.979065
2018-09-15 19:27:27,2162,28.584656,3.1011047,-15.605988
2018-09-15 19:27:27,2173,28.319061,3.9361877,-13.220352
2018-09-15 19:27:27,2182,24.672394,5.1637115,-10.001999
2018-09-15 19:27:27,2192,21.32962,4.268799,-7.25264
2018-09-15 19:27:27,2202,15.074783,3.4289093,-4.833496
2018-09-15 19:27:27,2212,9.671783,2.2947235,-3.1322021
2018-09-15 19:27:27,2223,3.723236,0.8661957,2.2492523
2018-09-15 19:27:27,2232,-1.8520508,-0.6412811,8.633301
2018-09-15 19:27:27,2242,-6.5443726,-2.5076752,14.691925
2018-09-15 19:27:27,2256,-9.413361,-3.328415,18.855438
2018-09-15 19:27:27,2262,-9.497116,-3.3882294,19.27658
2018-09-15 19:27:27,2272,-4.022339,-2.0578308,14.392822
2018-09-15 19:27:27,2282,3.4217377,-1.0863342,5.843277
2018-09-15 19:27:27,2293,11.140976,0.32781982,-4.266403
2018-09-15 19:27:27,2302,19.061234,0.67237854,-11.11705
2018-09-15 19:27:27,2312,23.918655,1.799408,-13.895126
2018-09-15 19:27:27,2323,25.897522,3.8883362,-15.084351
2018-09-15 19:27:27,2332,26.601013,4.400406,-15.55574
2018-09-15 19:27:27,2342,25.39264,4.730606,-15.168106
2018-09-15 19:27:27,2352,22.844284,4.72583,-14.514862
2018-09-15 19:27:27,2362,14.940781,2.285141,-9.867996
2018-09-15 19:27:27,2373,10.198212,0.3254242,-5.704483
2018-09-15 19:27:27,2382,3.0939178,-1.2059784,1.179657
2018-09-15 19:27:27,2392,-3.2398834,-1.8281097,8.047058
2018-09-15 19:27:27,2402,-8.961121,-1.7706909,15.266205
2018-09-15 19:27:27,2413,-9.86322,-2.0578308,17.697311
